GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620195.01,CT,0195.01,0.5513,3537,1748,1671,38000
4620195.02,CT,0195.02,0.5999,5384,2487,2342,35200
4620195.03,CT,0195.03,0.8864,4956,2426,2296,38000
4620196.00,CT,0196.00,0.405,4065,2270,2126,40000
4620197.00,CT,0197.00,0.5961,4915,2627,2453,37200
4620198.00,CT,0198.00,0.6466,5025,2654,2502,37200
4620199.00,CT,0199.00,0.2251,2619,1418,1334,37600
4620200.00,CT,0200.00,0.3071,4579,2410,2292,34400
4620201.00,CT,0201.00,0.9381,6953,3625,3400,33600
4620202.00,CT,0202.00,0.6147,4186,2434,2275,38400
4620203.00,CT,0203.00,0.2379,2797,1558,1469,44400
4620204.00,CT,0204.00,0.2349,2667,1508,1417,44400
4620205.00,CT,0205.00,0.1769,2095,1208,1120,45600
4620206.00,CT,0206.00,0.2322,2530,1437,1340,43200
4620207.00,CT,0207.00,0.2558,3379,1945,1818,38400
4620208.00,CT,0208.00,0.1992,2497,1424,1339,41200
4620209.00,CT,0209.00,0.6681,6031,3418,3177,40000
4620210.00,CT,0210.00,0.3324,4165,2536,2383,45200
4620211.00,CT,0211.00,0.1765,2249,1367,1295,41600
4620212.00,CT,0212.00,0.1939,2523,1489,1394,46000
4620213.00,CT,0213.00,0.1914,2586,1417,1316,44400
4620214.00,CT,0214.00,0.2537,2765,1542,1432,40000
4620215.00,CT,0215.00,0.2371,3010,1757,1657,42400
4620216.00,CT,0216.00,0.3285,2200,1330,1256,41200
4620217.00,CT,0217.00,0.1625,2518,1511,1386,42000
4620218.00,CT,0218.00,0.2802,2877,1817,1671,41200
4620219.00,CT,0219.00,0.3124,2827,1790,1624,44400
4620220.00,CT,0220.00,0.4205,5683,2949,2692,27600
4620221.00,CT,0221.00,0.3291,6147,3021,2771,26200
4620222.00,CT,0222.00,0.1989,3777,1674,1563,27000
4620223.01,CT,0223.01,0.1447,4052,1681,1564,23800
4620223.02,CT,0223.02,0.1952,3353,1334,1279,27400
4620224.00,CT,0224.00,0.3721,6054,2624,2435,25800
4620225.00,CT,0225.00,0.655,1414,706,666,37200
4620226.00,CT,0226.00,0.2448,2952,1683,1561,46800
4620227.00,CT,0227.00,0.1159,1561,814,763,49200
4620228.00,CT,0228.00,0.1129,1628,819,775,44400
4620229.00,CT,0229.00,0.4646,0,0,0,
4620230.00,CT,0230.00,0.1151,1858,995,952,43200
4620231.00,CT,0231.00,0.1035,1612,906,851,45600
4620232.00,CT,0232.00,0.3645,4674,2817,2582,53600
4620233.00,CT,0233.00,0.1039,2011,1279,1182,36000
4620234.00,CT,0234.00,0.1493,2144,1323,1234,34400
4620235.00,CT,0235.00,0.1167,1872,1063,990,43600
4620236.00,CT,0236.00,0.1077,1776,1009,962,39200
4620237.00,CT,0237.00,0.2181,3418,1863,1766,45600
